Date,Category,Payment_Mode,Description,Amount,Cashback
2024-07-05,Investment,UPI,Bought new shares in a company,115.1,17.43
2024-07-30,Stationary,UPI,Bought a new set of markers and notepads,188.84,7.97
2024-07-16,Stationary,UPI,Office supplies for the new quarter,226.83,12.35
2024-07-06,Groceries,Debit card,Supermarket shopping for household items,201.59,13.45
2024-07-08,Investment,wallet,Bought new shares in a company,353.63,18.6
2024-07-22,Stationary,UPI,Bought a new set of markers and notepads,47.62,11.97
2024-07-21,Investment,Credit card,Invested in mutual funds,486.58,5.53
2024-07-09,Subscription,UPI,Monthly Hotstar subscription,39.0,11.62
2024-07-16,Bills,wallet,Payment for high-speed internet,472.8,14.78
2024-07-21,Investment,Credit card,Monthly contribution to retirement fund,449.85,17.46
2024-07-25,Stationary,wallet,"Purchased pens notebooks, and other office supplies",30.98,8.02
2024-07-29,Stationary,Cash,Bought a new set of markers and notepads,267.56,16.08
2024-07-16,Subscription,UPI,Paid for online entertainment subscription,483.06,10.37
2024-07-14,Transportation,Cash,Bus fare for commuting,223.52,14.88
2024-07-28,Transportation,Credit card,Taxi fare to the office,76.22,18.65
2024-07-06,Stationary,Credit card,"Purchased pens notebooks, and other office supplies",393.09,9.15
2024-07-08,Stationary,UPI,Bought a new set of markers and notepads,452.98,7.78
2024-07-16,Groceries,Cash,Grocery shopping for fruits and vegetables,177.65,13.05
2024-07-01,Investment,Cash,Monthly contribution to retirement fund,264.79,14.29
2024-07-12,Subscription,Credit card,Paid for online entertainment subscription,162.94,14.89
2024-07-22,Bills,Cash,Paid the gas bill for this month,139.4,13.0
2024-07-17,Investment,Debit card,Investment in stocks,65.86,15.45
2024-07-30,Subscription,Cash,Streaming services subscription,220.79,5.75
2024-07-08,Stationary,Cash,School supplies shopping,448.71,12.4
2024-07-16,Bills,Credit card,Settled electricity charges,304.8,8.12
2024-07-11,Transportation,Cash,Taxi fare to the office,288.26,7.92
2024-07-02,Stationary,Cash,Bought a new set of markers and notepads,399.94,18.06
2024-07-02,Stationary,Credit card,Bought stationery for the office,353.85,13.58
2024-07-27,Transportation,Cash,Taxi fare to the office,423.03,19.87
2024-07-29,Bills,Debit card,Payment for water usage,386.29,19.33
2024-07-18,Bills,wallet,Settled electricity charges,247.13,16.39
2024-07-27,Investment,Credit card,Invested in cryptocurrency,391.63,19.81
2024-07-09,Groceries,UPI,Bought snacks and drinks,481.22,13.57
2024-07-08,Groceries,Cash,Supermarket shopping for essentials,161.61,12.85
2024-07-05,Stationary,wallet,"Purchased pens notebooks, and other office supplies",354.03,13.13
2024-07-29,Transportation,wallet,Paid for public transport pass,198.43,11.89
2024-07-29,Bills,Credit card,Gas service payment,468.59,17.07
2024-07-21,Investment,UPI,Investment in stocks,476.86,11.08
2024-07-04,Bills,Debit card,Paid for monthly WiFi subscription,150.67,19.31
2024-07-10,Subscription,Cash,Streaming services subscription,239.69,18.18
2024-07-03,Groceries,UPI,Grocery shopping for fruits and vegetables,315.07,18.34
2024-07-04,Groceries,UPI,Grocery shopping for fruits and vegetables,56.34,13.89
2024-07-02,Investment,Credit card,Investment in stocks,20.63,17.39
2024-07-23,Transportation,UPI,Fuel refill for the car,166.72,5.15
2024-07-10,Stationary,Credit card,Bought stationery for the office,69.92,12.17
2024-07-01,Investment,Credit card,Bought new shares in a company,145.39,5.43
2024-07-30,Stationary,wallet,Bought stationery for the office,76.26,10.14
2024-08-28,Stationary,Debit card,School supplies shopping,344.52,14.92
2024-08-18,Transportation,Credit card,Uber ride for the week,177.06,12.91
2024-08-03,Bills,UPI,Settled the monthly gas charges,38.2,18.92
2024-08-11,Investment,Credit card,Monthly contribution to retirement fund,324.55,11.25
2024-08-02,Subscription,wallet,Paid for Netflix subscription,156.7,8.68
2024-08-13,Investment,Credit card,Investment in stocks,464.0,5.46
2024-08-05,Bills,Debit card,Monthly broadband charges,205.51,17.78
2024-08-09,Subscription,wallet,Prime membership renewal,272.67,6.59
2024-08-04,Groceries,UPI,Bought snacks and drinks,339.24,18.28
2024-08-23,Bills,wallet,Monthly broadband charges,205.21,9.68
2024-08-13,Bills,Debit card,Settled electricity charges,297.93,15.34
2024-08-09,Transportation,Credit card,Fuel refill for the car,203.69,6.96
2024-08-20,Investment,Debit card,Investment in stocks,306.14,18.22
2024-08-21,Subscription,Debit card,Paid for Netflix subscription,379.77,11.13
2024-08-11,Subscription,Debit card,Paid for Netflix subscription,159.93,16.58
2024-08-30,Groceries,Credit card,Grocery shopping for fruits and vegetables,35.89,10.17
2024-08-21,Groceries,Cash,Grocery shopping for fruits and vegetables,331.43,17.73
2024-08-13,Bills,Credit card,Monthly water bill payment,372.57,8.92
2024-08-13,Stationary,wallet,"Purchased pens notebooks, and other office supplies",233.67,18.24
2024-08-20,Bills,UPI,Payment for high-speed internet,455.94,17.25
2024-08-09,Subscription,wallet,Prime membership renewal,81.87,14.13
2024-08-01,Subscription,wallet,Prime membership renewal,61.31,6.44
2024-08-06,Bills,Debit card,Paid the gas bill for this month,32.78,7.63
2024-08-08,Bills,Credit card,Electricity bill for the current month,458.75,14.24
2024-08-14,Stationary,Debit card,Bought stationery for the office,156.05,10.91
2024-08-09,Stationary,Cash,"Purchased pens notebooks, and other office supplies",132.85,8.08
2024-08-29,Bills,Credit card,Monthly electricity bill payment,481.38,17.79
2024-08-24,Investment,Cash,Monthly contribution to retirement fund,423.33,11.49
2024-08-08,Investment,Debit card,Bought new shares in a company,76.57,8.58
2024-08-10,Subscription,Credit card,Prime membership renewal,242.64,7.07
2024-08-25,Subscription,Debit card,Paid for online entertainment subscription,435.98,10.18
2024-08-24,Subscription,UPI,Paid for Netflix subscription,426.51,18.68
2024-08-10,Stationary,UPI,Office supplies for the new quarter,330.02,16.26
2024-08-26,Stationary,UPI,"Purchased pens notebooks, and other office supplies",447.79,7.08
2024-08-18,Investment,Cash,Bought new shares in a company,328.36,15.31
2024-08-05,Stationary,Credit card,Bought a new set of markers and notepads,277.69,14.0
2024-08-29,Transportation,wallet,Fuel refill for the car,385.09,5.59
2024-08-18,Groceries,wallet,Supermarket shopping for essentials,236.04,16.28
2024-08-15,Investment,Cash,Bought new shares in a company,90.63,13.13
2024-08-13,Investment,Credit card,Investment in stocks,82.27,14.21
2024-08-20,Investment,UPI,Investment in stocks,493.62,18.53
2024-08-01,Subscription,UPI,Paid for Netflix subscription,246.45,18.56
2024-08-21,Bills,UPI,Electricity usage payment,447.04,7.48
2024-08-28,Bills,wallet,Paid the electricity bill for the month,155.48,6.8
2024-08-26,Investment,wallet,Invested in cryptocurrency,284.98,5.25
2024-08-13,Stationary,Cash,Office supplies for the new quarter,109.45,14.36
2024-08-12,Investment,wallet,Invested in mutual funds,176.36,12.97
2024-08-07,Groceries,UPI,Weekly grocery run,237.11,14.32
2024-08-08,Subscription,Debit card,Prime membership renewal,382.68,6.83
2024-08-26,Groceries,wallet,Supermarket shopping for household items,342.2,5.81
2024-08-01,Stationary,UPI,Bought a new set of markers and notepads,25.73,10.83
2024-08-15,Groceries,Credit card,Bought snacks and drinks,182.49,15.93
2024-08-29,Investment,Debit card,Monthly contribution to retirement fund,495.58,6.85
2024-08-02,Investment,UPI,Monthly contribution to retirement fund,458.05,16.66
2024-08-28,Transportation,wallet,Taxi fare to the office,241.52,17.58
2024-08-23,Investment,Debit card,Monthly contribution to retirement fund,346.31,15.4
2024-08-21,Investment,Credit card,Investment in stocks,418.73,17.21
2024-08-25,Stationary,UPI,School supplies shopping,67.27,18.01
2024-08-16,Investment,UPI,Monthly contribution to retirement fund,266.08,18.27
2024-08-23,Groceries,wallet,Weekly grocery run,196.14,14.6
2024-08-15,Bills,Cash,WiFi charges for the month,113.02,9.01
2024-08-06,Stationary,wallet,School supplies shopping,435.75,7.77
2024-08-09,Transportation,UPI,Fuel refill for the car,288.4,5.81
2024-08-03,Subscription,UPI,Paid for Netflix subscription,386.96,11.78
2024-08-09,Subscription,Cash,Paid for online entertainment subscription,94.88,14.49
2024-08-01,Subscription,Cash,Paid for online entertainment subscription,347.38,17.26
2024-08-28,Bills,Cash,WiFi charges for the month,70.3,18.09
2024-08-22,Transportation,Debit card,Fuel refill for the car,188.78,6.0
2024-08-09,Stationary,UPI,School supplies shopping,455.99,14.34
2024-08-14,Transportation,Cash,Paid for public transport pass,433.83,8.45
2024-08-14,Investment,wallet,Bought new shares in a company,183.15,18.74
2024-08-14,Bills,Cash,Monthly broadband charges,85.61,11.94
2024-08-02,Subscription,Cash,Paid for online entertainment subscription,81.49,17.46
2024-08-25,Investment,Debit card,Bought new shares in a company,464.93,5.71
2024-08-15,Transportation,Cash,Paid for public transport pass,429.17,16.12
2024-08-10,Investment,UPI,Invested in mutual funds,326.03,11.38
2024-08-04,Groceries,wallet,Supermarket shopping for household items,174.74,11.46
2024-08-03,Bills,UPI,Monthly broadband charges,232.85,5.67
2024-08-25,Transportation,Credit card,Uber ride for the week,181.16,15.31
2024-08-26,Subscription,UPI,Paid for Netflix subscription,25.14,19.09
2024-08-19,Investment,UPI,Invested in mutual funds,440.2,8.87
2024-08-19,Stationary,wallet,Bought a new set of markers and notepads,37.47,6.88
2024-08-25,Investment,UPI,Invested in cryptocurrency,354.48,12.41
2024-08-22,Investment,UPI,Invested in mutual funds,433.81,16.17
2024-08-26,Subscription,wallet,Paid for online entertainment subscription,446.63,11.6
2024-08-27,Groceries,Credit card,Weekly grocery run,471.71,16.73
2024-08-12,Bills,UPI,Monthly electricity bill payment,449.55,12.17
2024-08-10,Investment,UPI,Invested in mutual funds,230.01,13.11
2024-08-11,Stationary,Debit card,Bought stationery for the office,249.23,18.08
2024-08-23,Stationary,UPI,Bought stationery for the office,490.26,16.43
2024-08-23,Bills,UPI,Monthly water bill payment,473.96,18.76
2024-08-29,Subscription,Debit card,Paid for online entertainment subscription,363.98,15.68
2024-08-26,Stationary,Debit card,Office supplies for the new quarter,157.97,7.86
2024-08-04,Investment,Debit card,Monthly contribution to retirement fund,177.24,17.41
2024-08-27,Transportation,Credit card,Bus fare for commuting,24.65,10.61
2024-08-25,Bills,UPI,Monthly water bill payment,27.36,8.03
2024-08-13,Transportation,Cash,Uber ride for the week,390.49,7.2
2024-08-20,Subscription,UPI,Streaming services subscription,437.32,13.11
2024-08-24,Subscription,UPI,Paid for online entertainment subscription,447.52,14.99
2024-08-26,Groceries,Debit card,Bought snacks and drinks,97.49,14.9
2024-08-16,Bills,Cash,Gas bill payment,202.16,5.06
2024-08-02,Transportation,Cash,Fuel refill for the car,73.54,12.87
2024-08-01,Subscription,Cash,Monthly Hotstar subscription,153.19,5.46
2024-08-24,Subscription,wallet,Monthly Hotstar subscription,225.17,17.01
2024-08-23,Bills,Cash,Settled electricity charges,53.71,15.83
2024-08-25,Subscription,UPI,Paid for Netflix subscription,459.08,12.16
2024-08-17,Subscription,Debit card,Prime membership renewal,447.39,13.28
2024-08-14,Bills,Cash,Paid the electricity bill for the month,398.85,18.69
2024-08-02,Stationary,Credit card,School supplies shopping,406.0,8.4
2024-08-14,Stationary,Debit card,"Purchased pens notebooks, and other office supplies",195.71,7.36
2024-08-22,Investment,Cash,Invested in mutual funds,193.78,16.6
2024-08-04,Bills,Cash,Gas service payment,313.49,9.96
2024-08-10,Groceries,Cash,Bought snacks and drinks,271.74,19.21
2024-08-07,Investment,wallet,Invested in mutual funds,248.11,16.89
2024-08-07,Subscription,Credit card,Monthly Hotstar subscription,204.73,12.1
2024-08-26,Groceries,Cash,Bought snacks and drinks,252.68,19.46
2024-08-03,Subscription,wallet,Paid for online entertainment subscription,117.1,5.33
2024-08-30,Stationary,wallet,Bought stationery for the office,214.66,19.11
2024-08-25,Bills,wallet,Electricity bill for the current month,129.37,12.53
2024-08-26,Bills,Cash,Monthly water bill payment,444.94,19.39
2024-09-19,Bills,wallet,Paid the gas bill for this month,218.4,13.63
2024-09-27,Transportation,Debit card,Bus fare for commuting,380.82,9.4
2024-09-04,Stationary,Credit card,"Purchased pens notebooks, and other office supplies",333.78,15.84
2024-09-27,Subscription,Cash,Paid for online entertainment subscription,489.92,9.35
2024-09-06,Transportation,Cash,Fuel refill for the car,357.29,14.48
2024-09-09,Subscription,UPI,Prime membership renewal,297.33,6.24
2024-09-06,Groceries,UPI,Supermarket shopping for household items,318.57,8.22
2024-09-20,Stationary,Cash,Bought a new set of markers and notepads,297.95,15.35
2024-09-03,Bills,Debit card,Water bill for the month,38.65,17.06
2024-09-06,Transportation,Cash,Taxi fare to the office,311.28,16.19
2024-09-03,Subscription,wallet,Streaming services subscription,52.8,6.14
2024-09-13,Groceries,UPI,Bought snacks and drinks,311.2,9.15
2024-09-07,Stationary,UPI,"Purchased pens notebooks, and other office supplies",38.23,13.36
2024-09-22,Investment,UPI,Investment in stocks,187.15,18.61
2024-09-15,Subscription,Debit card,Prime membership renewal,154.17,12.68
2024-09-12,Bills,Debit card,Settled the water bill,419.17,11.64
2024-09-12,Bills,wallet,Monthly water bill payment,171.04,11.49
2024-09-15,Subscription,Cash,Streaming services subscription,122.45,19.48
2024-09-26,Subscription,Credit card,Streaming services subscription,496.54,7.35
2024-09-29,Bills,Credit card,Gas utility charges for the month,186.56,14.85
2024-09-08,Stationary,Cash,School supplies shopping,474.98,11.7
2024-09-24,Transportation,wallet,Bus fare for commuting,228.92,7.19
2024-09-13,Bills,Debit card,Settled the water bill,270.22,5.33
2024-09-26,Subscription,Cash,Prime membership renewal,162.23,7.08
2024-09-29,Transportation,UPI,Fuel refill for the car,469.27,13.33
2024-09-01,Investment,wallet,Investment in stocks,86.81,17.85
2024-09-09,Investment,Credit card,Bought new shares in a company,383.41,6.91
2024-09-28,Stationary,Cash,"Purchased pens notebooks, and other office supplies",95.05,10.58
2024-09-08,Groceries,Debit card,Bought snacks and drinks,76.56,18.27
2024-09-21,Subscription,Credit card,Paid for Netflix subscription,331.27,18.51
2024-09-06,Transportation,Debit card,Bus fare for commuting,131.04,11.58
2024-09-18,Stationary,Debit card,Bought a new set of markers and notepads,489.97,7.18
2024-09-15,Stationary,Cash,School supplies shopping,458.84,13.3
2024-09-05,Transportation,UPI,Taxi fare to the office,336.69,16.85
2024-09-20,Transportation,wallet,Fuel refill for the car,226.27,10.96
2024-09-02,Bills,Debit card,Gas bill payment,219.22,19.25
2024-09-13,Stationary,Debit card,School supplies shopping,342.51,13.21
2024-09-08,Stationary,Debit card,Bought a new set of markers and notepads,39.05,19.81
2024-09-27,Subscription,UPI,Prime membership renewal,437.7,6.55
2024-09-25,Groceries,Credit card,Supermarket shopping for essentials,331.68,17.73
2024-09-01,Investment,wallet,Investment in stocks,77.95,18.46
2024-09-09,Stationary,Debit card,School supplies shopping,206.27,18.17
2024-09-01,Stationary,UPI,Bought stationery for the office,27.55,13.17
2024-09-20,Investment,wallet,Bought new shares in a company,69.97,14.61
2024-09-21,Subscription,Debit card,Paid for Netflix subscription,76.46,17.33
2024-09-29,Stationary,UPI,School supplies shopping,296.71,7.28
2024-09-24,Bills,Credit card,Water bill for the month,239.21,7.27
2024-09-04,Subscription,Credit card,Paid for Netflix subscription,285.98,13.77
2024-09-08,Transportation,wallet,Fuel refill for the car,168.51,18.3
2024-09-22,Groceries,Debit card,Supermarket shopping for essentials,20.69,18.92
2024-09-17,Transportation,UPI,Paid for public transport pass,60.96,10.3
2024-09-16,Subscription,UPI,Paid for Netflix subscription,308.27,18.59
2024-09-16,Transportation,Debit card,Taxi fare to the office,449.8,5.43
2024-09-07,Transportation,Cash,Bus fare for commuting,88.04,19.41
2024-09-21,Investment,Debit card,Bought new shares in a company,420.45,18.62
2024-09-11,Transportation,wallet,Uber ride for the week,258.4,18.27
2024-09-01,Groceries,UPI,Supermarket shopping for household items,90.15,13.09
2024-09-14,Subscription,Debit card,Streaming services subscription,189.74,18.87
2024-09-17,Bills,wallet,Settled the water bill,94.35,15.13
2024-09-11,Stationary,Debit card,Bought stationery for the office,295.86,11.81
2024-09-17,Stationary,Debit card,Bought a new set of markers and notepads,300.36,5.22
2024-09-20,Bills,UPI,Settled electricity charges,162.26,10.47
2024-09-10,Investment,Debit card,Monthly contribution to retirement fund,443.86,13.27
2024-09-12,Stationary,Credit card,Bought a new set of markers and notepads,112.55,7.88
2024-09-27,Investment,UPI,Invested in cryptocurrency,276.29,14.14
2024-09-29,Subscription,Cash,Monthly Hotstar subscription,230.41,10.26
2024-09-29,Transportation,Debit card,Uber ride for the week,296.61,14.69
2024-09-28,Transportation,Cash,Uber ride for the week,51.68,14.0
2024-09-20,Bills,UPI,Electricity bill for the current month,400.14,12.95
2024-09-19,Investment,Debit card,Monthly contribution to retirement fund,269.26,14.47
2024-09-05,Investment,wallet,Invested in mutual funds,325.74,19.44
2024-09-27,Subscription,Debit card,Prime membership renewal,207.79,11.68
2024-09-27,Subscription,Cash,Prime membership renewal,205.16,13.29
2024-09-08,Investment,Debit card,Investment in stocks,356.91,5.14
2024-09-13,Subscription,UPI,Monthly Hotstar subscription,316.57,13.07
2024-09-14,Transportation,Debit card,Bus fare for commuting,59.35,16.04
2024-09-05,Transportation,wallet,Fuel refill for the car,131.83,11.17
2024-09-19,Transportation,Cash,Bus fare for commuting,338.25,10.31
2024-09-07,Subscription,Credit card,Paid for online entertainment subscription,195.1,7.57
2024-09-13,Groceries,Credit card,Supermarket shopping for household items,286.09,15.36
2024-09-12,Transportation,wallet,Bus fare for commuting,449.35,12.15
2024-09-17,Bills,wallet,Paid the gas bill for this month,302.67,18.81
2024-09-15,Transportation,wallet,Bus fare for commuting,118.52,11.26
2024-09-03,Investment,wallet,Invested in cryptocurrency,331.26,16.11
2024-09-11,Groceries,Debit card,Bought snacks and drinks,395.86,17.35
2024-09-24,Bills,Credit card,Gas utility charges for the month,281.72,17.15
2024-09-12,Stationary,wallet,Bought stationery for the office,53.51,7.26
2024-09-05,Investment,wallet,Bought new shares in a company,370.94,10.1
2024-09-02,Stationary,UPI,Bought stationery for the office,473.38,13.57
2024-09-18,Groceries,Credit card,Bought snacks and drinks,484.94,5.53
2024-09-17,Groceries,UPI,Supermarket shopping for household items,380.86,11.69
2024-09-23,Stationary,Cash,Bought stationery for the office,363.01,18.02
2024-09-06,Subscription,wallet,Paid for online entertainment subscription,156.04,6.67
2024-09-25,Groceries,UPI,Bought snacks and drinks,114.88,14.51
2024-09-21,Bills,UPI,Paid the water utility bill,422.05,8.5
2024-09-06,Bills,Credit card,Paid for monthly WiFi subscription,308.86,9.18
2024-09-03,Transportation,wallet,Paid for public transport pass,351.91,10.73
2024-09-02,Investment,wallet,Invested in mutual funds,434.56,9.16
2024-09-22,Investment,Debit card,Invested in mutual funds,399.69,11.19
2024-09-11,Subscription,UPI,Paid for online entertainment subscription,380.3,11.98
2024-09-27,Bills,Debit card,Settled the water bill,113.28,19.95
2024-09-26,Groceries,Cash,Supermarket shopping for household items,90.6,11.74
2024-09-04,Bills,Credit card,Electricity bill for the current month,420.47,13.66
2024-09-12,Stationary,Cash,School supplies shopping,363.77,5.52
2024-09-08,Subscription,wallet,Streaming services subscription,195.48,6.25
2024-09-08,Bills,UPI,Settled electricity charges,462.9,9.59
2024-09-03,Transportation,UPI,Bus fare for commuting,354.06,15.27
2024-09-15,Transportation,Debit card,Paid for public transport pass,188.01,17.68
2024-09-22,Investment,UPI,Monthly contribution to retirement fund,75.3,14.91
2024-09-26,Subscription,Cash,Paid for Netflix subscription,148.32,16.82
2024-09-20,Bills,wallet,Monthly broadband charges,288.91,10.21
2024-09-06,Transportation,wallet,Paid for public transport pass,237.42,6.47
2024-09-17,Subscription,Credit card,Prime membership renewal,192.89,18.17
2024-09-23,Bills,UPI,Gas utility charges for the month,186.52,18.27
2024-09-19,Groceries,Cash,Supermarket shopping for household items,198.19,14.55
2024-09-18,Subscription,wallet,Prime membership renewal,222.87,12.58
2024-09-02,Investment,wallet,Monthly contribution to retirement fund,494.12,12.25
2024-09-26,Subscription,UPI,Streaming services subscription,391.18,17.26
2024-09-04,Subscription,Debit card,Paid for Netflix subscription,175.61,16.98
2024-09-25,Bills,UPI,Settled the water bill,352.64,12.02
2024-10-11,Bills,Cash,Paid the gas bill for this month,344.73,12.31
2024-10-16,Investment,Debit card,Invested in mutual funds,49.55,13.83
2024-10-09,Subscription,UPI,Streaming services subscription,377.14,15.06
2024-10-23,Groceries,UPI,Weekly grocery run,326.54,10.62
2024-10-28,Stationary,UPI,School supplies shopping,178.25,16.3
2024-10-29,Groceries,wallet,Supermarket shopping for household items,27.4,16.16
2024-10-22,Subscription,wallet,Paid for online entertainment subscription,127.15,15.96
2024-10-14,Subscription,wallet,Streaming services subscription,456.0,14.43
2024-10-06,Transportation,Cash,Paid for public transport pass,236.07,11.18
2024-10-16,Groceries,Debit card,Supermarket shopping for essentials,216.75,17.58
2024-10-01,Stationary,Cash,Bought a new set of markers and notepads,107.03,13.37
2024-10-25,Bills,wallet,Paid the electricity bill for the month,24.86,7.71
2024-10-02,Stationary,Cash,Bought a new set of markers and notepads,296.74,14.18
2024-10-05,Transportation,wallet,Fuel refill for the car,54.44,5.65
2024-10-10,Bills,wallet,Settled the monthly gas charges,135.89,16.93
2024-10-24,Investment,Debit card,Bought new shares in a company,44.15,11.5
2024-10-21,Subscription,Debit card,Streaming services subscription,44.06,7.92
2024-10-18,Transportation,wallet,Bus fare for commuting,169.7,18.12
2024-10-05,Investment,UPI,Bought new shares in a company,356.7,8.85
2024-10-24,Groceries,wallet,Bought snacks and drinks,343.73,18.04
2024-10-09,Stationary,Cash,Bought a new set of markers and notepads,28.21,18.43
2024-10-16,Bills,Cash,Payment for high-speed internet,93.88,16.13
2024-10-17,Transportation,Credit card,Fuel refill for the car,471.52,10.59
2024-10-10,Transportation,Cash,Uber ride for the week,320.2,19.54
2024-10-29,Bills,UPI,Paid the electricity bill for the month,54.71,10.91
2024-10-18,Bills,Credit card,Paid the gas bill for this month,448.77,5.12
2024-10-25,Groceries,UPI,Supermarket shopping for household items,284.6,10.28
2024-10-28,Stationary,Credit card,Office supplies for the new quarter,203.89,14.59
2024-10-05,Stationary,Debit card,"Purchased pens notebooks, and other office supplies",344.88,8.65
2024-10-23,Stationary,UPI,School supplies shopping,88.36,12.66
2024-10-02,Investment,UPI,Invested in mutual funds,72.08,7.77
2024-10-11,Subscription,Cash,Streaming services subscription,145.17,15.56
2024-10-08,Investment,Cash,Bought new shares in a company,484.15,6.72
2024-10-29,Bills,UPI,Paid the water utility bill,268.49,13.03
2024-10-14,Bills,Cash,Gas service payment,248.25,9.12
2024-10-19,Investment,UPI,Monthly contribution to retirement fund,117.72,9.44
2024-10-02,Stationary,wallet,School supplies shopping,78.96,9.74
2024-10-23,Investment,Debit card,Invested in mutual funds,195.16,18.06
2024-10-20,Investment,Debit card,Invested in mutual funds,331.11,6.26
2024-10-27,Transportation,UPI,Taxi fare to the office,428.6,5.24
2024-10-14,Groceries,Debit card,Grocery shopping for fruits and vegetables,355.04,18.12
2024-10-21,Stationary,wallet,School supplies shopping,425.2,18.67
2024-10-17,Groceries,UPI,Weekly grocery run,305.62,19.67
2024-10-28,Investment,Debit card,Investment in stocks,487.44,8.08
2024-10-02,Subscription,UPI,Paid for Netflix subscription,82.09,14.79
2024-10-03,Subscription,UPI,Streaming services subscription,277.52,6.85
2024-10-23,Investment,wallet,Monthly contribution to retirement fund,190.45,9.59
2024-10-05,Bills,Cash,Paid the electricity bill for the month,434.75,16.13
2024-10-26,Groceries,Credit card,Bought snacks and drinks,414.91,18.01
2024-10-30,Investment,wallet,Invested in mutual funds,337.01,19.63
2024-10-12,Subscription,wallet,Paid for online entertainment subscription,39.25,10.6
2024-10-16,Groceries,wallet,Grocery shopping for fruits and vegetables,92.7,16.9
2024-10-04,Subscription,Debit card,Streaming services subscription,407.58,15.63
2024-10-28,Subscription,Debit card,Streaming services subscription,43.4,16.74
2024-10-23,Transportation,Cash,Uber ride for the week,25.14,10.24
2024-10-13,Stationary,Credit card,Bought a new set of markers and notepads,180.14,12.3
2024-10-10,Investment,Debit card,Monthly contribution to retirement fund,247.33,14.79
2024-10-28,Subscription,Debit card,Monthly Hotstar subscription,423.03,18.08
2024-10-25,Investment,Debit card,Invested in mutual funds,43.44,8.66
2024-10-18,Stationary,UPI,Bought stationery for the office,24.28,18.1
2024-10-01,Bills,Debit card,Paid the electricity bill for the month,470.63,18.74
2024-10-04,Bills,Debit card,Electricity bill for the current month,394.07,12.54
2024-10-28,Investment,Debit card,Monthly contribution to retirement fund,355.37,13.52
2024-10-15,Bills,Debit card,Water bill for the month,412.75,9.19
2024-10-05,Groceries,wallet,Bought snacks and drinks,126.67,7.8
2024-10-09,Investment,wallet,Monthly contribution to retirement fund,354.95,7.77
2024-10-03,Investment,Debit card,Monthly contribution to retirement fund,452.35,6.24
2024-10-01,Stationary,wallet,"Purchased pens notebooks, and other office supplies",280.65,18.11
2024-10-05,Subscription,wallet,Monthly Hotstar subscription,247.26,5.56
2024-10-15,Subscription,Cash,Streaming services subscription,434.01,19.3
2024-10-07,Subscription,UPI,Paid for Netflix subscription,461.04,6.64
2024-10-03,Bills,Credit card,Paid the water utility bill,476.49,11.57
2024-10-13,Investment,UPI,Investment in stocks,243.1,16.05
2024-10-25,Investment,Cash,Monthly contribution to retirement fund,392.1,10.17
2024-10-10,Groceries,wallet,Grocery shopping for fruits and vegetables,250.67,11.49
2024-10-26,Groceries,wallet,Supermarket shopping for essentials,218.72,19.94
2024-10-23,Transportation,Debit card,Fuel refill for the car,99.25,15.44
2024-10-01,Investment,Credit card,Invested in cryptocurrency,99.59,15.38
2024-10-30,Bills,Credit card,Settled the monthly gas charges,133.88,12.27
2024-10-08,Stationary,Credit card,Bought stationery for the office,355.73,5.21
2024-10-13,Bills,UPI,Paid the gas bill for this month,299.77,16.75
2024-10-04,Investment,Debit card,Investment in stocks,433.36,17.21
2024-10-16,Transportation,Cash,Bus fare for commuting,124.95,7.03
2024-10-15,Stationary,wallet,School supplies shopping,137.93,8.03
2024-10-14,Investment,Credit card,Monthly contribution to retirement fund,404.85,6.42
2024-10-22,Transportation,Debit card,Paid for public transport pass,114.51,14.69
2024-10-19,Subscription,Debit card,Streaming services subscription,411.8,19.43
2024-10-10,Subscription,Debit card,Streaming services subscription,355.78,15.81
2024-10-14,Transportation,UPI,Uber ride for the week,255.19,7.78
2024-10-19,Stationary,wallet,"Purchased pens notebooks, and other office supplies",389.41,19.47
2024-10-22,Subscription,Credit card,Paid for Netflix subscription,392.03,14.04
2024-10-16,Transportation,UPI,Fuel refill for the car,146.62,10.66
2024-10-06,Transportation,wallet,Fuel refill for the car,184.24,15.54
2024-10-25,Groceries,Credit card,Bought snacks and drinks,435.6,14.46
2024-10-17,Investment,Cash,Investment in stocks,175.42,6.73
2024-10-22,Subscription,Cash,Monthly Hotstar subscription,479.72,7.62
2024-10-02,Transportation,Cash,Paid for public transport pass,272.97,9.19
2024-10-26,Transportation,UPI,Fuel refill for the car,103.13,10.75
2024-10-21,Groceries,UPI,Grocery shopping for fruits and vegetables,84.62,9.42
2024-10-23,Groceries,Debit card,Supermarket shopping for essentials,482.85,5.28
2024-10-12,Subscription,Credit card,Prime membership renewal,400.22,10.66
2024-10-14,Transportation,UPI,Paid for public transport pass,76.4,5.98
2024-10-20,Bills,Credit card,Settled the monthly gas charges,105.81,11.15
2024-10-26,Stationary,Cash,School supplies shopping,96.3,6.67
2024-10-06,Bills,wallet,Monthly broadband charges,101.16,13.89
2024-10-06,Transportation,wallet,Fuel refill for the car,112.08,12.82
2024-10-21,Transportation,Cash,Uber ride for the week,467.76,18.57
2024-10-05,Stationary,Credit card,"Purchased pens notebooks, and other office supplies",445.93,16.35
2024-10-08,Groceries,UPI,Bought snacks and drinks,152.44,19.17
2024-10-24,Transportation,UPI,Taxi fare to the office,378.05,15.06
2024-10-12,Stationary,UPI,Bought stationery for the office,494.81,15.66
